beta: 26.0808sec, alpha:  6.7119sec, calc: 274142 / 499500
beta: 25.3738sec, alpha:  6.5286sec, calc: 266521 / 499500
beta: 25.3859sec, alpha:  6.5474sec, calc: 266761 / 499500
beta: 25.5399sec, alpha:  6.5818sec, calc: 268408 / 499500
beta: 26.4823sec, alpha:  6.8154sec, calc: 278274 / 499500
beta: 26.5833sec, alpha:  6.8561sec, calc: 279487 / 499500
beta: 26.1855sec, alpha:  6.7376sec, calc: 274966 / 499500
beta: 25.7693sec, alpha:  6.6411sec, calc: 271026 / 499500
beta: 26.2236sec, alpha:  6.7499sec, calc: 275627 / 499500
beta: 25.9064sec, alpha:  6.6525sec, calc: 272087 / 499500
beta: 25.8804sec, alpha:  6.6620sec, calc: 272331 / 499500
beta: 25.8231sec, alpha:  6.6435sec, calc: 271816 / 499500
beta: 26.5062sec, alpha:  6.8331sec, calc: 278708 / 499500
beta: 24.9929sec, alpha:  6.4323sec, calc: 262487 / 499500
beta: 26.5293sec, alpha:  6.8232sec, calc: 278515 / 499500
beta: 26.3893sec, alpha:  6.7894sec, calc: 276994 / 499500
beta: 26.1383sec, alpha:  6.7014sec, calc: 274302 / 499500
beta: 25.3097sec, alpha:  6.5270sec, calc: 265826 / 499500
beta: 25.8842sec, alpha:  6.6454sec, calc: 272162 / 499500
beta: 25.9837sec, alpha:  6.6656sec, calc: 272300 / 499500
beta: 25.7080sec, alpha:  6.5900sec, calc: 269490 / 499500
beta: 26.6243sec, alpha:  6.8286sec, calc: 279490 / 499500
beta: 25.8971sec, alpha:  6.6499sec, calc: 271409 / 499500
beta: 25.9754sec, alpha:  6.6647sec, calc: 272654 / 499500
beta: 26.6893sec, alpha:  6.8410sec, calc: 280065 / 499500
beta: 26.6190sec, alpha:  6.8232sec, calc: 278935 / 499500
beta: 26.1403sec, alpha:  6.7019sec, calc: 273850 / 499500
beta: 25.3655sec, alpha:  6.5139sec, calc: 266083 / 499500
beta: 26.3850sec, alpha:  6.7704sec, calc: 276966 / 499500
beta: 25.9049sec, alpha:  6.6580sec, calc: 271704 / 499500
beta: 25.7376sec, alpha:  6.6138sec, calc: 269974 / 499500
beta: 25.6656sec, alpha:  6.6060sec, calc: 269780 / 499500
beta: 25.7229sec, alpha:  6.6243sec, calc: 270341 / 499500
beta: 25.4472sec, alpha:  6.5470sec, calc: 267605 / 499500
beta: 25.7891sec, alpha:  6.6387sec, calc: 270331 / 499500
beta: 25.9742sec, alpha:  6.6948sec, calc: 272958 / 499500
beta: 26.3631sec, alpha:  6.7760sec, calc: 276616 / 499500
beta: 25.9269sec, alpha:  6.6860sec, calc: 272262 / 499500
beta: 25.7466sec, alpha:  6.6123sec, calc: 270157 / 499500
beta: 25.4984sec, alpha:  6.5688sec, calc: 268317 / 499500
beta: 25.9034sec, alpha:  6.6310sec, calc: 272199 / 499500
beta: 24.7885sec, alpha:  6.3733sec, calc: 260629 / 499500
beta: 26.1534sec, alpha:  6.6913sec, calc: 274338 / 499500
beta: 26.4051sec, alpha:  6.8054sec, calc: 277284 / 499500
beta: 26.5051sec, alpha:  6.8006sec, calc: 278235 / 499500
beta: 26.2383sec, alpha:  6.7484sec, calc: 276005 / 499500
beta: 26.0745sec, alpha:  6.7064sec, calc: 273413 / 499500
beta: 25.4346sec, alpha:  6.5290sec, calc: 266806 / 499500
beta: 25.6625sec, alpha:  6.6016sec, calc: 269278 / 499500
beta: 25.8124sec, alpha:  6.6178sec, calc: 270904 / 499500
beta: 25.7717sec, alpha:  6.6443sec, calc: 270729 / 499500
beta: 25.8677sec, alpha:  6.6495sec, calc: 272133 / 499500
beta: 25.2981sec, alpha:  6.5097sec, calc: 266093 / 499500
